step,samples,episodes_seen,epoch,loss,gradient_norm,learning_rate,update_seconds,data_seconds
9100,72800,143,2.38,0.025,0.465,8.0e-05,0.093,0.407
9200,73600,145,2.41,0.023,0.439,7.9e-05,0.093,0.394
9300,74400,146,2.44,0.024,0.442,7.9e-05,0.093,0.392
9400,75200,148,2.46,0.024,0.447,7.8e-05,0.093,0.398
9500,76000,149,2.49,0.025,0.470,7.8e-05,0.093,0.402
9600,76800,151,2.51,0.026,0.457,7.8e-05,0.094,0.381
9700,77600,152,2.54,0.027,0.478,7.7e-05,0.094,0.399
9800,78400,154,2.57,0.025,0.477,7.7e-05,0.093,0.401
9900,79200,156,2.59,0.024,0.448,7.6e-05,0.093,0.385
10000,80000,157,2.62,0.025,0.449,7.6e-05,0.094,0.399
10100,80800,159,2.65,0.022,0.421,7.5e-05,0.093,0.390
10200,81600,160,2.67,0.024,0.463,7.5e-05,0.093,0.419
10300,82400,162,2.70,0.024,0.427,7.5e-05,0.094,0.379
10400,83200,163,2.72,0.022,0.459,7.4e-05,0.093,0.399
10500,84000,165,2.75,0.024,0.437,7.4e-05,0.093,0.398
10600,84800,167,2.78,0.025,0.435,7.3e-05,0.093,0.393
10700,85600,168,2.80,0.022,0.420,7.3e-05,0.094,0.387
10800,86400,170,2.83,0.021,0.404,7.2e-05,0.093,0.395
10900,87200,171,2.85,0.024,0.456,7.2e-05,0.093,0.389
11000,88000,173,2.88,0.023,0.423,7.1e-05,0.094,0.387
11100,88800,174,2.91,0.025,0.447,7.1e-05,0.093,0.408
11200,89600,176,2.93,0.022,0.425,7.0e-05,0.093,0.396
11300,90400,178,2.96,0.021,0.392,7.0e-05,0.093,0.385
11400,91200,179,2.99,0.023,0.416,6.9e-05,0.093,0.417
11500,92000,181,3.01,0.023,0.421,6.9e-05,0.093,0.381
11600,92800,182,3.04,0.020,0.394,6.8e-05,0.093,0.388
11700,93600,184,3.06,0.020,0.404,6.8e-05,0.093,0.404
11800,94400,185,3.09,0.021,0.394,6.8e-05,0.093,0.388
11900,95200,187,3.12,0.022,0.413,6.7e-05,0.093,0.398
12000,96000,189,3.14,0.022,0.411,6.7e-05,0.093,0.383
12100,96800,190,3.17,0.021,0.410,6.6e-05,0.093,0.394
12200,97600,192,3.20,0.020,0.396,6.6e-05,0.093,0.400
12300,98400,193,3.22,0.019,0.373,6.5e-05,0.093,0.385
12400,99200,195,3.25,0.021,0.398,6.5e-05,0.093,0.387
12500,100000,196,3.27,0.020,0.386,6.4e-05,0.093,0.375
12600,100800,198,3.30,0.021,0.383,6.4e-05,0.094,0.387
12700,101600,200,3.33,0.021,0.403,6.3e-05,0.093,0.399
12800,102400,201,3.35,0.020,0.394,6.3e-05,0.093,0.393
12900,103200,203,3.38,0.019,0.373,6.2e-05,0.093,0.389
13000,104000,204,3.40,0.019,0.371,6.2e-05,0.093,0.407
13100,104800,206,3.43,0.018,0.369,6.1e-05,0.093,0.402
13200,105600,207,3.46,0.020,0.365,6.1e-05,0.092,0.392
13300,106400,209,3.48,0.018,0.359,6.0e-05,0.092,0.405
13400,107200,211,3.51,0.020,0.380,6.0e-05,0.093,0.382
13500,108000,212,3.54,0.018,0.352,5.9e-05,0.093,0.405
13600,108800,214,3.56,0.019,0.375,5.9e-05,0.094,0.399
13700,109600,215,3.59,0.020,0.373,5.8e-05,0.094,0.402
13800,110400,217,3.61,0.017,0.359,5.8e-05,0.093,0.409
13900,111200,218,3.64,0.020,0.370,5.7e-05,0.093,0.390
14000,112000,220,3.67,0.017,0.358,5.7e-05,0.093,0.392
14100,112800,222,3.69,0.018,0.363,5.6e-05,0.094,0.390
14200,113600,223,3.72,0.017,0.357,5.6e-05,0.093,0.402
14300,114400,225,3.75,0.018,0.364,5.5e-05,0.093,0.390
14400,115200,226,3.77,0.017,0.339,5.5e-05,0.094,0.386
14500,116000,228,3.80,0.016,0.358,5.4e-05,0.093,0.398
14600,116800,229,3.82,0.018,0.348,5.4e-05,0.093,0.413
14700,117600,231,3.85,0.018,0.355,5.3e-05,0.093,0.405
14800,118400,233,3.88,0.017,0.337,5.3e-05,0.093,0.393
14900,119200,234,3.90,0.018,0.358,5.2e-05,0.093,0.400
15000,120000,236,3.93,0.017,0.348,5.2e-05,0.093,0.392
15100,120800,237,3.95,0.018,0.347,5.1e-05,0.092,0.385
15200,121600,239,3.98,0.017,0.350,5.0e-05,0.093,0.391
15300,122400,240,4.01,0.016,0.351,5.0e-05,0.093,0.409
15400,123200,242,4.03,0.016,0.314,4.9e-05,0.093,0.385
15500,124000,244,4.06,0.017,0.353,4.9e-05,0.093,0.385
15600,124800,245,4.09,0.017,0.322,4.8e-05,0.094,0.391
15700,125600,247,4.11,0.017,0.330,4.8e-05,0.093,0.411
15800,126400,248,4.14,0.016,0.352,4.7e-05,0.093,0.380
15900,127200,250,4.16,0.016,0.326,4.7e-05,0.093,0.393
16000,128000,251,4.19,0.015,0.321,4.6e-05,0.093,0.396
16100,128800,253,4.22,0.016,0.333,4.6e-05,0.093,0.389
16200,129600,255,4.24,0.015,0.311,4.5e-05,0.093,0.405
16300,130400,256,4.27,0.016,0.327,4.5e-05,0.092,0.401
16400,131200,258,4.30,0.015,0.315,4.4e-05,0.093,0.392
16500,132000,259,4.32,0.016,0.325,4.4e-05,0.093,0.394
16600,132800,261,4.35,0.017,0.322,4.3e-05,0.093,0.391
16700,133600,262,4.37,0.016,0.318,4.3e-05,0.093,0.408
16800,134400,264,4.40,0.016,0.313,4.2e-05,0.093,0.390
16900,135200,266,4.43,0.016,0.310,4.2e-05,0.093,0.382
17000,136000,267,4.45,0.016,0.327,4.1e-05,0.093,0.387
17100,136800,269,4.48,0.016,0.326,4.1e-05,0.093,0.412
17200,137600,270,4.50,0.015,0.313,4.0e-05,0.093,0.402
17300,138400,272,4.53,0.014,0.286,4.0e-05,0.093,0.396
17400,139200,273,4.56,0.016,0.326,3.9e-05,0.093,0.390
17500,140000,275,4.58,0.016,0.322,3.9e-05,0.093,0.412
17600,140800,277,4.61,0.015,0.302,3.8e-05,0.092,0.389
17700,141600,278,4.64,0.014,0.288,3.8e-05,0.092,0.391
17800,142400,280,4.66,0.014,0.304,3.7e-05,0.093,0.411
17900,143200,281,4.69,0.015,0.297,3.7e-05,0.093,0.399
18000,144000,283,4.71,0.015,0.297,3.6e-05,0.093,0.390
18100,144800,284,4.74,0.014,0.297,3.6e-05,0.093,0.376
18200,145600,286,4.77,0.014,0.294,3.5e-05,0.093,0.393
18300,146400,288,4.79,0.016,0.318,3.5e-05,0.093,0.396
18400,147200,289,4.82,0.014,0.296,3.4e-05,0.093,0.393
18500,148000,291,4.85,0.014,0.294,3.4e-05,0.093,0.389
18600,148800,292,4.87,0.014,0.288,3.4e-05,0.093,0.397
18700,149600,294,4.90,0.013,0.313,3.3e-05,0.093,0.396
18800,150400,295,4.92,0.014,0.295,3.3e-05,0.093,0.382
